Store,YearMonth,Monthly_Sales,Temperature,Fuel_Price,CPI,Unemployment,Holiday_Flag,Date,Month,Year,Prev_Month_Sales,Prev_2_Months_Sales,Prev_Year_Sales,Rolling_3M_Avg,Rolling_6M_Avg,MoM_Change,Next_Month_Sales
1,2011-02,6399887.57,49.730000000000004,3.0302499999999997,213.071770025,7.742,1,2011-02-28,2,2011,5480050.97,8876953.18,6307344.1,6918963.906666666,6703812.408333332,0.16785183295475825,6307375.4799999995
1,2011-03,6307375.4799999995,61.4675,3.427,214.22425985,7.742,0,2011-03-31,3,2011,6399887.57,5480050.97,5871293.98,6062438.006666667,6783409.335000001,-0.014455268000903465,7689123.6
1,2011-04,7689123.6,68.66,3.7012,215.25825522,7.682,0,2011-04-30,4,2011,6307375.4799999995,6399887.57,7422801.92,6798795.55,6873156.31,0.21906863233073293,6128431.8
1,2011-05,6128431.8,71.4,3.8745000000000003,215.749441025,7.682,0,2011-05-31,5,2011,7689123.6,6307375.4799999995,5929938.640000001,6708310.293333333,6813637.099999999,-0.2029739514136566,6194971.74
1,2011-06,6194971.74,84.03,3.6445,215.101584,7.682,0,2011-06-30,6,2011,6128431.8,7689123.6,6084081.46,6670842.38,6366640.193333332,0.010857580237737308,7227654.3100000005
1,2011-07,7227654.3100000005,86.50399999999999,3.5824,215.3456295,7.962000000000001,0,2011-07-31,7,2011,6194971.74,6128431.8,7244483.04,6517019.283333334,6657907.416666667,0.16669689763588824,6144985.73
1,2011-08,6144985.73,90.0775,3.5997500000000002,215.638235575,7.962,0,2011-08-31,8,2011,7227654.3100000005,6194971.74,6075952.95,6522537.260000001,6615423.776666667,-0.1497952909150687,7379542.34
1,2011-09,7379542.34,79.852,3.4854,216.15713412,7.962000000000001,1,2011-09-30,9,2011,6144985.73,7227654.3100000005,5829793.92,6917394.126666668,6794118.253333334,0.20090471552649136,6072327.75
1,2011-10,6072327.75,67.8325,3.321,217.39832425,7.866,0,2011-10-31,10,2011,7379542.34,6144985.73,7150641.75,6532285.273333333,6524652.278333333,-0.17714033333942492,6864972.83
1,2011-11,6864972.83,59.12,3.29325,218.1308992,7.866,1,2011-11-30,11,2011,6072327.75,7379542.34,6485547.0600000005,6772280.973333333,6647409.116666667,0.13053397521238863,9032594.71
1,2011-12,9032594.71,47.396,3.146,219.14994872000003,7.866,1,2011-12-31,12,2011,6864972.83,6072327.75,8876953.18,7323298.43,7120346.278333333,0.315750977269345,5723690.52
1,2012-01,5723690.52,51.4775,3.2439999999999998,219.91783149999998,7.348,0,2012-01-31,1,2012,9032594.71,6864972.83,5480050.97,7207086.02,6869685.646666666,-0.36632931026305293,6798074.91
1,2012-02,6798074.91,51.785,3.4585,220.37496355,7.348,1,2012-02-29,2,2012,5723690.52,9032594.71,6399887.57,7184786.713333334,6978533.843333334,0.18770833018414157,8201997.4
